val_loss,val_acc,epoch,step,loss,acc
0.2875369191169739,0.918749988079071,0,25,,
,,1,49,0.14501947164535522,0.9599999785423279
0.22644813358783722,0.925000011920929,1,51,,
0.19478759169578552,0.9312499761581421,2,77,,
,,3,99,0.09606526792049408,1.0
0.17750480771064758,0.925000011920929,3,103,,
0.19117355346679688,0.9375,4,129,,
,,5,149,0.23350785672664642,0.8799999952316284
0.16903617978096008,0.9375,5,155,,
0.1619887501001358,0.9312499761581421,6,181,,
,,7,199,0.10897098481655121,1.0
0.1563476026058197,0.925000011920929,7,207,,
0.15365248918533325,0.9375,8,233,,
,,9,249,0.06259042769670486,1.0
0.15039171278476715,0.9375,9,259,,
