val_loss,val_acc,epoch,step,loss,acc
0.29070010781288147,0.9125000238418579,0,25,,
,,1,49,0.15745919942855835,0.9199999570846558
0.22389349341392517,0.925000011920929,1,51,,
0.20409417152404785,0.925000011920929,2,77,,
,,3,99,0.09043531119823456,1.0
0.19358210265636444,0.925000011920929,3,103,,
0.17132137715816498,0.925000011920929,4,129,,
,,5,149,0.31112319231033325,0.8799999952316284
0.1709246188402176,0.925000011920929,5,155,,
0.19458767771720886,0.918749988079071,6,181,,
,,7,199,0.27308958768844604,0.8799999952316284
0.16535145044326782,0.9375,7,207,,
0.15278396010398865,0.9375,8,233,,
,,9,249,0.19255955517292023,0.9199999570846558
0.15396663546562195,0.9437500238418579,9,259,,
