val_loss,val_acc,epoch,step,loss,acc
0.2920052707195282,0.9125000238418579,0,25,,
,,1,49,0.2486899495124817,0.8799999952316284
0.2407621443271637,0.918749988079071,1,51,,
0.2057614028453827,0.9312499761581421,2,77,,
,,3,99,0.16730651259422302,0.9199999570846558
0.21626272797584534,0.9125000238418579,3,103,,
0.17796804010868073,0.925000011920929,4,129,,
,,5,149,0.10368993878364563,0.9599999785423279
0.17248135805130005,0.925000011920929,5,155,,
0.17682278156280518,0.918749988079071,6,181,,
,,7,199,0.14175230264663696,0.9599999785423279
0.16177543997764587,0.9312499761581421,7,207,,
0.15866899490356445,0.9312499761581421,8,233,,
,,9,249,0.05013003200292587,1.0
0.14889997243881226,0.9312499761581421,9,259,,
