val_loss,val_acc,epoch,step,loss,acc
0.2907406687736511,0.90625,0,25,,
,,1,49,0.22415338456630707,0.9199999570846558
0.2290291041135788,0.918749988079071,1,51,,
0.19932688772678375,0.9312499761581421,2,77,,
,,3,99,0.1873304396867752,0.8799999952316284
0.18183080852031708,0.918749988079071,3,103,,
0.17261233925819397,0.9375,4,129,,
,,5,149,0.09987941384315491,0.9599999785423279
0.17083527147769928,0.9312499761581421,5,155,,
0.1708669662475586,0.9312499761581421,6,181,,
,,7,199,0.41433626413345337,0.8799999952316284
0.15989483892917633,0.9375,7,207,,
0.163980633020401,0.9375,8,233,,
,,9,249,0.06485980749130249,0.9599999785423279
0.17638447880744934,0.9125000238418579,9,259,,
