val_loss,val_acc,epoch,step,loss,acc
0.291022926568985,0.90625,0,25,,
,,1,49,0.3190605342388153,0.8399999737739563
0.2144772708415985,0.918749988079071,1,51,,
0.19085416197776794,0.925000011920929,2,77,,
,,3,99,0.08303434401750565,1.0
0.18028178811073303,0.925000011920929,3,103,,
0.16620074212551117,0.9312499761581421,4,129,,
,,5,149,0.04243498295545578,1.0
0.1693517416715622,0.9312499761581421,5,155,,
0.1594473421573639,0.9312499761581421,6,181,,
,,7,199,0.2233380824327469,0.9199999570846558
0.16027233004570007,0.9312499761581421,7,207,,
0.15110956132411957,0.9375,8,233,,
,,9,249,0.05869249254465103,1.0
0.14816229045391083,0.9437500238418579,9,259,,
