val_loss,val_acc,epoch,step,loss,acc
0.28425565361976624,0.9125000238418579,0,25,,
,,1,49,0.17744603753089905,0.9599999785423279
0.23472027480602264,0.918749988079071,1,51,,
0.1953398734331131,0.918749988079071,2,77,,
,,3,99,0.15160706639289856,0.9599999785423279
0.1838301122188568,0.9312499761581421,3,103,,
0.17414431273937225,0.918749988079071,4,129,,
,,5,149,0.13344526290893555,0.9199999570846558
0.16493871808052063,0.9312499761581421,5,155,,
0.1588355302810669,0.9312499761581421,6,181,,
,,7,199,0.07017697393894196,0.9599999785423279
0.15762698650360107,0.9312499761581421,7,207,,
0.15309840440750122,0.9375,8,233,,
,,9,249,0.04277908802032471,1.0
0.14562249183654785,0.9312499761581421,9,259,,
