val_loss,val_acc,epoch,step,loss,acc
0.29830116033554077,0.887499988079071,0,25,,
,,1,49,0.21199201047420502,0.8799999952316284
0.22681757807731628,0.918749988079071,1,51,,
0.20681774616241455,0.925000011920929,2,77,,
,,3,99,0.0909922793507576,1.0
0.18421408534049988,0.925000011920929,3,103,,
0.18098369240760803,0.925000011920929,4,129,,
,,5,149,0.2254670262336731,0.9199999570846558
0.18791700899600983,0.918749988079071,5,155,,
0.18264319002628326,0.925000011920929,6,181,,
,,7,199,0.09623183310031891,1.0
0.18211297690868378,0.9125000238418579,7,207,,
0.16535140573978424,0.9312499761581421,8,233,,
,,9,249,0.15496161580085754,0.9599999785423279
0.181059330701828,0.90625,9,259,,
