val_loss,val_acc,epoch,step,loss,acc
0.4951089918613434,0.875,0,6,,
0.3494557738304138,0.925000011920929,1,13,,
0.2593715786933899,0.925000011920929,2,20,,
0.2136477530002594,0.949999988079071,3,27,,
0.1623522937297821,0.949999988079071,4,34,,
0.13742390275001526,0.949999988079071,5,41,,
0.11787726730108261,0.9750000238418579,6,48,,
,,7,49,0.09314895421266556,0.9599999785423279
0.11868567764759064,0.9750000238418579,7,55,,
0.11334715783596039,0.9750000238418579,8,62,,
0.09497695416212082,0.9750000238418579,9,69,,
