val_loss,val_acc,epoch,step,loss,acc
0.29399916529655457,0.9125000238418579,0,25,,
,,1,49,0.1163761243224144,0.9599999785423279
0.2577342689037323,0.9125000238418579,1,51,,
0.24946193397045135,0.8812500238418579,2,77,,
,,3,99,0.15277929604053497,0.8799999952316284
0.18534021079540253,0.925000011920929,3,103,,
0.18082496523857117,0.9437500238418579,4,129,,
,,5,149,0.07015324383974075,1.0
0.17483000457286835,0.918749988079071,5,155,,
0.16156408190727234,0.9375,6,181,,
,,7,199,0.10797960311174393,0.9599999785423279
0.1573127806186676,0.9375,7,207,,
0.15940497815608978,0.9375,8,233,,
,,9,249,0.16543899476528168,0.9199999570846558
0.1528586447238922,0.9375,9,259,,
