val_loss,val_acc,epoch,step,loss,acc
0.2784392237663269,0.918749988079071,0,25,,
,,1,49,0.2980925738811493,0.8799999952316284
0.2190876007080078,0.925000011920929,1,51,,
0.1997661292552948,0.9125000238418579,2,77,,
,,3,99,0.17361672222614288,0.9599999785423279
0.17883789539337158,0.9312499761581421,3,103,,
0.18039223551750183,0.918749988079071,4,129,,
,,5,149,0.23157966136932373,0.9199999570846558
0.17586812376976013,0.9312499761581421,5,155,,
0.16588211059570312,0.9312499761581421,6,181,,
,,7,199,0.10310298949480057,0.9599999785423279
0.16145633161067963,0.925000011920929,7,207,,
0.1594012975692749,0.9312499761581421,8,233,,
,,9,249,0.0774560198187828,1.0
0.15518969297409058,0.9375,9,259,,
