val_loss,val_acc,epoch,step,loss,acc
0.281416118144989,0.8999999761581421,0,25,,
,,1,49,0.4554538130760193,0.8399999737739563
0.21397915482521057,0.925000011920929,1,51,,
0.21137981116771698,0.918749988079071,2,77,,
,,3,99,0.09162358194589615,1.0
0.17811083793640137,0.925000011920929,3,103,,
0.17702463269233704,0.9125000238418579,4,129,,
,,5,149,0.07306434214115143,1.0
0.1833348572254181,0.925000011920929,5,155,,
0.1575631946325302,0.9375,6,181,,
,,7,199,0.06682328879833221,1.0
0.1538015753030777,0.9312499761581421,7,207,,
0.1587449014186859,0.9375,8,233,,
,,9,249,0.1944185048341751,0.9199999570846558
0.14684328436851501,0.9312499761581421,9,259,,
